Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-02-12,Marie Antoinette,2006,https://boxd.it/8OdzjH,4,,"<i>“And—I don’t want to say this—but I don’t think she has greeted you with respect. That’s just my opinion.”</i>

Guy who has only seen Barry Lyndon, watching his second movie: Getting a lot of 'Barry Lyndon' vibes from this...

If you get it you get it and if you don’t you don’t. Made for me. Nobody but Sofia Coppola could do this.

On my <a href=“https://letterboxd.com/katswnt/list/could-be-in-my-top-4/”>”Could be in my top 4” list</a>","good styling, good soundtrack, good cinematography, beautiful, smoke a j first, every frame a painting, 2000s, best costume design winner, female director, cunt classic, female writer, '05 - '15, eighteenth century",2025-02-11
2025-02-13,Spider-Man,2002,https://boxd.it/8OFggv,3.5,,This happened to a buddy of mine once,"so much fun, smoke a j first, nostalgic <3, 2000s, bechdel fail, superheroes, '95 - '05, nyc",2025-02-12
2025-02-13,Y2K,2024,https://boxd.it/8OREGL,2,,"I bet this is what caused the Butlerian jihad

This movie wants you to want to watch it on a CRT tv. Mostly references that are fun, but it’s sooooo <i>Ready Player One</i>.

Half stars added for: practical effects, Faith sing along, and Rachel Zegler","smoke a j first, halloween vibes, a24, 2020s",2025-02-12
2025-02-14,Austin Powers: The Spy Who Shagged Me,1999,https://boxd.it/8Pbeaf,3.5,Yes,"<i>“One for me and one for my homies.”</i>

The Austin Powers movies were some of my favorites when I was in middle school, which is………

Had and have such a crush on Scott, especially with this blue hair. Dr. Evil lowkey has girl-dad vibes tho.","good styling, so much fun, good soundtrack, smoke a j first, nostalgic <3, they matched each other's freak, frankie core, gay halloween, 90s, camp, spy movie",2025-02-13
2025-02-14,Anora,2024,https://boxd.it/8PqM1B,3,,"<i>“My son will not be apologizing to anybody.”</i>

I just rated <i>Y2K</i> a 2 and <i>Austin Powers</i> a 3 1/2, and it feels weird to say this is in the middle of those two in terms of quality—it’s nominated for a million awards! But I have to be true to myself thus am wondering: did I watch the same movie as everybody else??

Mikey Madison acted the hell out of what was written for her, but what was written for her was so empty. The entire movie I kept wondering how we were supposed to believe Ani could be so stupid. You’re telling me she’s 23 and successful but seriously believes—even for a minute—that some 21 year old shithead is a longterm path to wealth? Let alone love?? But it seems that Sean Baker thought Ani was a very #feminist #woke character and I think he just really missed the mark. If he hadn’t failed so profoundly here, I could see why this movie would be considered one of the best of 2024. But… ugh

Great performances from the whole ensemble. A lot of funny moments. Loved the lack of cuts during conversations, particularly when the shot was of Ani. So positives = acting, editing, production design, and the non-Ani characters.","neon, good acting, good editing, incredible performance, 2020s, best actress winner, best screenplay winner, best director winner, best picture winner, criterion collection, palme d'or winner, nyc",2025-02-13
2025-02-15,Saltburn,2023,https://boxd.it/8Q3y8h,2.5,,"<i>“You’d think she’s a riot, to look at her, but there’s absolutely nothing going on underneath.”</i>","good styling, beautiful, good cinematography, 2020s, female director, female writer, fabulous title card",2025-02-14
2025-02-16,Tropic Thunder,2008,https://boxd.it/8QSewb,3.5,,"<i>“…a G5 airplane?”</i>

Watched the director’s cut and the pacing was pretty bad but I hear that’s a common complaint. I think if i watched the theatrical cut I would give this an 8/10.

What a fun movie full of hot sexy dudes

I went to high school w a guy who is EXACTLY Les Grossman/les grosse mains","w/ dad, so much fun, good dialogue, smoke a j first, i love my dad, good acting, 2000s, director's cut, '05 - '15, movie about making movies",2025-02-15
2025-02-17,Warm Bodies,2013,https://boxd.it/8RGXap,2.5,,"I toss my perfect blonde beachy waves up in a messy bun and roll over in bed. “Ugh,” I complain. “These clothes are soaking still! I’m gonna lay them out to dry.” I get out of bed, noticing that the sexy zombie who I think is sexy is noticing that I am being sexy. I have to be coy. “Oh, relax”—I roll my large blue orbs towards the ceiling and back down again in a rolling motion—“don’t look.” The zombie who kidnapped me against my will stares back at me, hungry for my flesh.","they matched each other's freak, gay halloween, nostalgic <3, 2010s, zombies",2025-02-16
2025-02-19,Holy Motors,2012,https://boxd.it/8SZlK7,4.5,,"<i>3! 12! Merde!</i>

Genius. Wish the first half was as strong as the second. Please smoke a j and go into this blind, the moments where you figure out why Carax has made a particular choice are so so fun. 

Screamed aloud at Kylie Minogue’s appearance

On my <a href=“https://letterboxd.com/katswnt/list/could-be-in-my-top-4/”>”Could be in my top 4” list</a>","smoke a j first, good acting, good cinematography, incredible performance, top2025, needs a rewatch, 2010s, !american, !in english, surrealism",2025-02-18
2025-02-20,The Menu,2022,https://boxd.it/8Tw2DR,3.5,,"<i>“Did he just quote Martin Luther King?”</i>

I love Ralph Fiennes, Anya Taylor-Joy, Nicholas Hoult, Hong Chau, Arturo Castro, <i>And Then There Were None</i>, and <i>Chef’s Table </i>as much as the next gal, but felt like this was trying really hard to be ripe for a high school English paper #derogatory. Further cemented by this exchange on Reddit:

<blockquote>She's not wrong. That cheeseburger was the best-looking and tastiest meal, and he probably knew it judging by that smile he kept giving when making it. <i>3.6k upvotes</i></blockquote><blockquote>>>> I also feel like that might've been the first time he smiled while making food in a very long time. <i>2k upvotes</i></blockquote>Need to rewatch and figure out the courses a bit better. The bread (or lack thereof) showing that critics can ignore what is there (the sauces) in favor of what is not, the broken emulsion as an example of how a tiny flaw can negate the rest of the work in the critics’ minds, the tacos showing that consumers go into an experience with art with expectations and the art is filtered through those expectations, the printed images on the tortillas as a literal reflection of the consumer and a statement that your reflection might not be flattering from the artist’s POV, the s’mores/payment as the lengths that the desperation to understand an artists vision will take you. I don’t know the term for it but I’m gonna call it the Dante’s Inferno-ification of making every stage of the story a very clear statement on an aspect of the kind of person the art is critiquing… there’s more there.

I think the way Tyler’s character was handled was far and away the most interesting part.

Had a lot of fun and will probably rewatch just for Nicholas Hoult","2020s, one day",2025-02-19
