Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-12-08,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/bYwp3h,3.5,,"2000s, love sucks movie fest 2025, gorgeous cars, so much fun, smoke a j first, camp, idk how to rate this, w/ briana, mafia movie, dubious accents, bechdel fail, watched in tahoe",2025-12-07
2025-12-14,Pearl,2022,https://boxd.it/c2uepj,3.5,,"2020s, love sucks movie fest 2025, a24, incredible performance, female writer, hey that's the name of the movie",2025-12-13
2025-12-14,Wake Up Dead Man,2025,https://boxd.it/c2Fo6t,4,,"2020s, love sucks movie fest 2025, murder mystery, so much fun, good acting, good dialogue, w/ dad, w/ mom",2025-12-13
2025-12-18,Elf,2003,https://boxd.it/c67A2r,3.5,Yes,"2000s, holiday movie, love sucks movie fest 2025, so much fun, w/ mom, i love my mom, hey that's the name of the movie, nostalgic <3, nyc",2025-12-17
2025-12-20,Anatomy of a Fall,2023,https://boxd.it/c7VoXf,4.5,,"2020s, love sucks movie fest 2025, palme d'or winner, !american, !in english, criterion collection, female director, female writer, best screenplay winner, neon, good acting, incredible performance, mooford loved this",2025-12-19
2025-12-21,Terminator 2: Judgment Day,1991,https://boxd.it/c9desL,3,,"90s, love sucks movie fest 2025, w/ mom, w/ dad, w/ henry, smoke a j first",2025-12-20
2025-12-23,It Was Just an Accident,2025,https://boxd.it/cbtAET,4.5,,"2020s, love sucks movie fest 2025, palme d'or winner, !american, !in english, stressful!, neon, good cinematography, good acting, hey that's the name of the movie, criterion collection",2025-12-22
2025-12-24,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/ccBw2r,,Yes,"2000s, w/ mom, w/ emily, w/ dad",2025-12-23
2025-12-25,No Other Choice,2025,https://boxd.it/cdiRCh,4,,"2020s, love sucks movie fest 2025, neon, !american, !in english, mooford loved this, good cinematography, good editing, good acting, hey that's the name of the movie, stressful!",2025-12-24
2025-12-25,The Mastermind,2025,https://boxd.it/cdtJRF,2.5,,"2020s, love sucks movie fest 2025, massholes, heist movie, good score, hey that's the name of the movie, female writer, female director, good cinematography",2025-12-24
2025-12-25,How the Grinch Stole Christmas!,1966,https://boxd.it/cdC0F3,,Yes,"60s, holiday movie, mooford loved this, w/ mom, w/ henry, w/ dad, beautiful, bechdel fail, nostalgic <3",2025-12-24
2025-12-25,Rudolph the Red-Nosed Reindeer,1964,https://boxd.it/cdHCOd,,Yes,"60s, w/ emily, w/ mom, w/ dad, w/ henry, holiday movie, hey that's the name of the movie, nostalgic <3",2025-12-24
2025-12-26,Fantastic Mr. Fox,2009,https://boxd.it/ceT9sF,5,Yes,"2000s, love sucks movie fest 2025, w/ mom, w/ dad, w/ henry, w/ emily, beautiful, so much fun, good dialogue, criterion collection, bechdel fail, nostalgic <3, i love my dad, visually gorgeous, hey that's the name of the movie, long review",2025-12-25
2025-12-27,Sentimental Value,2025,https://boxd.it/cfFEXv,5,,"2020s, love sucks movie fest 2025, w/ dad, w/ mom, neon, !american, !in english, hey that's the name of the movie, movie about making movies, good cinematography, beautiful, good acting, good styling, incredible performance, feeling seen, i love my dad, long review, criterion collection, profile",2025-12-26
2025-12-27,Friendship,2024,https://boxd.it/cg53cz,3,,"2020s, love sucks movie fest 2025, smoke a j first, w/ dad, w/ mom, good dialogue, hey that's the name of the movie, bechdel fail, i love my dad, directorial debut, a24, stressful!",2025-12-26
2025-12-29,Millennium Mambo,2001,https://boxd.it/chQchh,4,,"2000s, !american, !in english, good cinematography, beautiful, love sucks movie fest 2025, bechdel fail, color grading perfection, visually gorgeous, female writer",2025-12-28
2025-12-30,The Worst Person in the World,2021,https://boxd.it/cjmZrj,4.5,,"2020s, love sucks movie fest 2025, !american, !in english, criterion collection, neon, beautiful, good acting, good styling, good dialogue, incredible performance, suspicious wig work, long review",2025-12-29
2025-12-30,Dune: Part Two,2024,https://boxd.it/cjQTDj,5,Yes,"2020s, w/ henry, love sucks movie fest 2025, good cinematography, beautiful, good styling, hey that's the name of the movie, good score, best sound winner, best special effects winner, bass pro shop",2025-12-29
2025-12-31,La Haine,1995,https://boxd.it/cl2St1,5,,"90s, love sucks movie fest 2025, !american, !in english, stressful!, criterion collection, good cinematography, beautiful, good acting, good dialogue, hey that's the name of the movie, bechdel fail, b&w, notable fourth wall break",2025-12-30
2026-01-02,Atomic Blonde,2017,https://boxd.it/cnfTbV,2.5,,"2010s, love sucks movie fest 2025, spy movie, notable fourth wall break, mooford loved this",2026-01-01
2026-01-04,Quantum of Solace,2008,https://boxd.it/cqzSYT,3,,"2000s, love sucks movie fest 2025, james bond, spy movie, bechdel fail",2026-01-03
2026-01-04,Gosford Park,2001,https://boxd.it/cqUm9B,4,,"2000s, love sucks movie fest 2025, murder mystery, best screenplay winner, good acting, good dialogue, needs a rewatch, one location",2026-01-03
2026-01-08,D.E.B.S.,2004,https://boxd.it/cw9Vuz,2.5,,"2000s, love sucks movie fest 2025, boots the house diva fierciosity, spy movie, female writer, female director, so much fun, smoke a j first, hey that's the name of the movie, camp, something wellesley this way comes, bechdel super pass, dubious accents",2026-01-07
2026-01-10,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/cyqxPZ,3,,"2020s, love sucks movie fest 2025, mission: impossible, spy movie, russian bad guys, bass pro shop",2026-01-09
2026-01-13,Network,1976,https://boxd.it/cCb2En,4,,"70s, love sucks movie fest 2025, good dialogue, good acting, good cinematography, hey that's the name of the movie, incredible performance, criterion collection, w/ dad, national film registry, best screenplay winner, best actress winner, best actor winner, best supporting actress winner, perspicacious and prescient, nyc",2026-01-12
2026-01-14,Skyfall,2012,https://boxd.it/cD0g8d,4,,"2010s, love sucks movie fest 2025, hey that's the name of the movie, spy movie, james bond, w/ henry, good score, best sound winner",2026-01-13
2026-01-15,Burn After Reading,2008,https://boxd.it/cEaOtt,3.5,Yes,"love sucks movie fest 2025, woad, coen brothers",2026-01-14
2026-01-18,Decision to Leave,2022,https://boxd.it/cH5Xw9,4,,"2020s, love sucks movie fest 2025, good cinematography, good acting, hey that's the name of the movie, !american, female writer, incredible performance, good score, !in english, good editing, cops, symbolism central",2026-01-17
2026-01-19,Who Killed Captain Alex?,2010,https://boxd.it/cIiAbd,5,,"2010s, love sucks movie fest 2025, w/ dad, i love my dad, smoke a j first, !american, !in english, bass pro shop, notable fourth wall break, revenge, long review",2026-01-18
2026-01-22,Josie and the Pussycats,2001,https://boxd.it/cLrxvp,2.5,,"2000s, love sucks movie fest 2025, female writer, female director, notable fourth wall break, hey that's the name of the movie, gay halloween, idk how to rate this, boots the house diva fierciosity, nyc",2026-01-21
2026-01-23,Dahomey,2024,https://boxd.it/cMkvbx,,,"2020s, documentary, female writer, female director, !american, !in english, hey that's the name of the movie",2026-01-22
